Order ID,Order Date,City,Customer Gender,Customer Age,Product Category,Product Name,Quantity Sold,Original Price (INR),Discount Percentage,Selling Price (INR),Total Revenue (INR),Cost Per Unit (INR),Profit (INR),Payment Method,Returned,Customer Rating
ORD-0001,2023-04-25,Delhi,Male,55,Electronics,Headphones,1,2999,5,2849.05,2849.05,1483.43,1365.62,Cash,Yes,1
ORD-0002,2023-08-12,Kolkata,Male,46,Clothing,Shoes,1,1999,20,1599.2,1599.2,1123.94,475.26,EMI,No,1
ORD-0003,2023-06-13,Pune,Male,23,Home & Kitchen,Bed Sheet Set,1,999,10,899.1,899.1,480.61,418.49,Cash,No,3
ORD-0004,2023-09-28,Kolkata,Male,53,Electronics,Smartwatch,1,8999,20,7199.2,7199.2,4274.21,2924.99,UPI,No,5
ORD-0005,2024-01-06,Chennai,Female,23,Sports & Fitness,Dumbbells,1,2199,25,1649.25,1649.25,1020.14,629.11,Debit Card,No,4
ORD-0006,2023-10-12,Chennai,Female,62,Home & Kitchen,Bed Sheet Set,1,999,5,949.05,949.05,523.51,425.54,Credit Card,No,2
ORD-0007,2024-06-30,Chennai,Female,21,Clothing,Jeans,4,1299,15,1104.15,4416.6,654.68,1797.88,Debit Card,No,3
ORD-0008,2024-02-15,Ahmedabad,Female,59,Groceries,Rice (5kg),3,349,5,331.55,994.65,171.89,478.98,Cash,No,2
ORD-0009,2023-09-10,Kolkata,Female,41,Sports & Fitness,Skipping Rope,1,299,10,269.1,269.1,179.22,89.88,Debit Card,No,2
ORD-0010,2024-06-05,Bangalore,Male,61,Home & Kitchen,Pressure Cooker,1,1899,0,1899.0,1899.0,1181.6,717.4,Cash,No,4
ORD-0011,2024-01-26,Mumbai,Male,61,Sports & Fitness,Protein Powder,1,1999,20,1599.2,1599.2,1000.07,599.13,EMI,No,3
ORD-0012,2023-04-25,Hyderabad,Male,50,Groceries,Tea Powder,4,299,5,284.05,1136.2,134.74,597.24,Credit Card,No,3
